municipio_norm,uf_sigla,municipio_ri_norm,observacao
PATO BRAGADO,PR,MARECHAL CANDIDO RONDON,Importado da revisao - sugestao distancia (MARECHAL CANDIDO RONDON)
PAULA FREITAS,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
PAULO FRONTIN,PR,MALLET,Importado da revisao - sugestao distancia (MALLET)
PEROBAL,PR,ALTO PIQUIRI,Importado da revisao - sugestao distancia (ALTO PIQUIRI)
PINHAL DE SAO BENTO,PR,AMPERE,Importado da revisao - sugestao distancia (AMPERE)
PINHALAO,PR,TOMAZINA,Importado da revisao - sugestao distancia (TOMAZINA)
PITANGUEIRAS,PR,ASTORGA,Importado da revisao - sugestao distancia (ASTORGA)
PIEN,PR,RIO NEGRO,Importado da revisao - sugestao distancia (RIO NEGRO)
PLANALTINA DO PARANA,PR,LOANDA,Importado da revisao - sugestao distancia (LOANDA)
PLANALTO,PR,CAPANEMA,Importado da revisao - sugestao distancia (CAPANEMA)
PORTO AMAZONAS,PR,PALMEIRA,Importado da revisao - sugestao distancia (PALMEIRA)
PORTO BARREIRO,PR,LARANJEIRAS DO SUL,Importado da revisao - sugestao distancia (LARANJEIRAS DO SUL)
PORTO RICO,PR,LOANDA,Importado da revisao - sugestao distancia (LOANDA)
PORTO VITORIA,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
PRADO FERREIRA,PR,JAGUAPITA,Importado da revisao - sugestao distancia (JAGUAPITA)
PRANCHITA,PR,SANTO ANTONIO DO SUDOESTE,Importado da revisao - sugestao distancia (SANTO ANTONIO DO SUDOESTE)
PRESIDENTE CASTELO BRANCO,PR,MANDAGUACU,Importado da revisao - sugestao distancia (MANDAGUACU)
PEROLA D'OESTE,PR,CAPANEMA,Importado da revisao - sugestao distancia (CAPANEMA)
QUARTO CENTENARIO,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
QUATIGUA,PR,JOAQUIM TAVORA,Importado da revisao - sugestao distancia (JOAQUIM TAVORA)
QUATRO PONTES,PR,MARECHAL CANDIDO RONDON,Importado da revisao - sugestao distancia (MARECHAL CANDIDO RONDON)
QUERENCIA DO NORTE,PR,SANTA ISABEL DO IVAI,Importado da revisao - sugestao distancia (SANTA ISABEL DO IVAI)
QUINTA DO SOL,PR,ENGENHEIRO BELTRAO,Importado da revisao - sugestao distancia (ENGENHEIRO BELTRAO)
QUITANDINHA,PR,LAPA,Importado da revisao - sugestao distancia (LAPA)
RAMILANDIA,PR,MATELANDIA,Importado da revisao - sugestao distancia (MATELANDIA)
RANCHO ALEGRE,PR,SERTANOPOLIS,Importado da revisao - sugestao distancia (SERTANOPOLIS)
RANCHO ALEGRE D'OESTE,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
RENASCENCA,PR,MARMELEIRO,Importado da revisao - sugestao distancia (MARMELEIRO)
RESERVA DO IGUACU,PR,MANGUEIRINHA,Importado da revisao - sugestao distancia (MANGUEIRINHA)
RIO AZUL,PR,REBOUCAS,Importado da revisao - sugestao distancia (REBOUCAS)
RIO BOM,PR,MARILANDIA DO SUL,Importado da revisao - sugestao distancia (MARILANDIA DO SUL)
RIO BONITO DO IGUACU,PR,LARANJEIRAS DO SUL,Importado da revisao - sugestao distancia (LARANJEIRAS DO SUL)
RIO BRANCO DO IVAI,PR,CANDIDO DE ABREU,Importado da revisao - sugestao distancia (CANDIDO DE ABREU)
RONCADOR,PR,IRETAMA,Importado da revisao - sugestao distancia (IRETAMA)
RONDON,PR,CIDADE GAUCHA,Importado da revisao - sugestao distancia (CIDADE GAUCHA)
ROSARIO DO IVAI,PR,GRANDES RIOS,Importado da revisao - sugestao distancia (GRANDES RIOS)
SABAUDIA,PR,ASTORGA,Importado da revisao - sugestao distancia (ASTORGA)
SALGADO FILHO,PR,BARRACAO,Importado da revisao - sugestao distancia (BARRACAO)
SALTO DO ITARARE,PR,SIQUEIRA CAMPOS,Importado da revisao - sugestao distancia (SIQUEIRA CAMPOS)
SANTA AMELIA,PR,SANTA MARIANA,Importado da revisao - sugestao distancia (SANTA MARIANA)
SANTA CECILIA DO PAVAO,PR,ASSAI,Importado da revisao - sugestao distancia (ASSAI)
SANTA CRUZ DE MONTE CASTELO,PR,SANTA ISABEL DO IVAI,Importado da revisao - sugestao distancia (SANTA ISABEL DO IVAI)
SANTA INES,PR,COLORADO,Importado da revisao - sugestao distancia (COLORADO)
SANTA IZABEL DO OESTE,PR,REALEZA,Importado da revisao - sugestao distancia (REALEZA)
SANTA LUCIA,PR,CAPITAO LEONIDAS MARQUES,Importado da revisao - sugestao distancia (CAPITAO LEONIDAS MARQUES)
SANTA MARIA DO OESTE,PR,PITANGA,Importado da revisao - sugestao distancia (PITANGA)
SANTA MONICA,PR,SANTA ISABEL DO IVAI,Importado da revisao - sugestao distancia (SANTA ISABEL DO IVAI)
SANTA TEREZA DO OESTE,PR,CASCAVEL,Importado da revisao - sugestao distancia (CASCAVEL)
SANTA TEREZINHA DE ITAIPU,PR,SAO MIGUEL DO IGUACU,Importado da revisao - sugestao distancia (SAO MIGUEL DO IGUACU)
SANTANA DO ITARARE,PR,WENCESLAU BRAZ,Importado da revisao - sugestao distancia (WENCESLAU BRAZ)
SANTO ANTONIO DO CAIUA,PR,TERRA RICA,Importado da revisao - sugestao distancia (TERRA RICA)
SANTO ANTONIO DO PARAISO,PR,CONGONHINHAS,Importado da revisao - sugestao distancia (CONGONHINHAS)
SANTO INACIO,PR,COLORADO,Importado da revisao - sugestao distancia (COLORADO)
SAPOPEMA,PR,CURIUVA,Importado da revisao - sugestao distancia (CURIUVA)
SAUDADE DO IGUACU,PR,SAO JOAO,Importado da revisao - sugestao distancia (SAO JOAO)
SERRANOPOLIS DO IGUACU,PR,MEDIANEIRA,Importado da revisao - sugestao distancia (MEDIANEIRA)
SERTANEJA,PR,URAI,Importado da revisao - sugestao distancia (URAI)
SULINA,PR,SAO JOAO,Importado da revisao - sugestao distancia (SAO JOAO)
SAO CARLOS DO IVAI,PR,PARAISO DO NORTE,Importado da revisao - sugestao distancia (PARAISO DO NORTE)
SAO JORGE D'OESTE,PR,DOIS VIZINHOS,Importado da revisao - sugestao distancia (DOIS VIZINHOS)
SAO JORGE DO IVAI,PR,MANDAGUACU,Importado da revisao - sugestao distancia (MANDAGUACU)
SAO JORGE DO PATROCINIO,PR,ALTONIA,Importado da revisao - sugestao distancia (ALTONIA)
SAO JOSE DA BOA VISTA,PR,WENCESLAU BRAZ,Importado da revisao - sugestao distancia (WENCESLAU BRAZ)
SAO JOSE DAS PALMEIRAS,PR,SANTA HELENA,Importado da revisao - sugestao distancia (SANTA HELENA)
SAO JOAO DO CAIUA,PR,PARANACITY,Importado da revisao - sugestao distancia (PARANACITY)
SAO MANOEL DO PARANA,PR,PARAISO DO NORTE,Importado da revisao - sugestao distancia (PARAISO DO NORTE)
SAO PEDRO DO IGUACU,PR,TOLEDO,Importado da revisao - sugestao distancia (TOLEDO)
SAO PEDRO DO IVAI,PR,SAO JOAO DO IVAI,Importado da revisao - sugestao distancia (SAO JOAO DO IVAI)
SAO PEDRO DO PARANA,PR,LOANDA,Importado da revisao - sugestao distancia (LOANDA)
SAO SEBASTIAO DA AMOREIRA,PR,ASSAI,Importado da revisao - sugestao distancia (ASSAI)
SAO TOME,PR,CIANORTE,Importado da revisao - sugestao distancia (CIANORTE)
TAMARANA,PR,MARILANDIA DO SUL,Importado da revisao - sugestao distancia (MARILANDIA DO SUL)
TAMBOARA,PR,PARANAVAI,Importado da revisao - sugestao distancia (PARANAVAI)
TAPIRA,PR,CIDADE GAUCHA,Importado da revisao - sugestao distancia (CIDADE GAUCHA)
TIJUCAS DO SUL,PR,FAZENDA RIO GRANDE,Importado da revisao - sugestao distancia (FAZENDA RIO GRANDE)
TRES BARRAS DO PARANA,PR,CATANDUVAS,Importado da revisao - sugestao distancia (CATANDUVAS)
TUNAS DO PARANA,PR,BOCAIUVA DO SUL,Importado da revisao - sugestao distancia (BOCAIUVA DO SUL)
TUNEIRAS DO OESTE,PR,CRUZEIRO DO OESTE,Importado da revisao - sugestao distancia (CRUZEIRO DO OESTE)
TUPASSI,PR,ASSIS CHATEAUBRIAND,Importado da revisao - sugestao distancia (ASSIS CHATEAUBRIAND)
TURVO,PR,GUARAPUAVA,Importado da revisao - sugestao distancia (GUARAPUAVA)
UNIFLOR,PR,NOVA ESPERANCA,Importado da revisao - sugestao distancia (NOVA ESPERANCA)
VENTANIA,PR,CURIUVA,Importado da revisao - sugestao distancia (CURIUVA)
VERA CRUZ DO OESTE,PR,MATELANDIA,Importado da revisao - sugestao distancia (MATELANDIA)
VERE,PR,SAO JOAO,Importado da revisao - sugestao distancia (SAO JOAO)
VIRMOND,PR,CANTAGALO,Importado da revisao - sugestao distancia (CANTAGALO)
VITORINO,PR,PATO BRANCO,Importado da revisao - sugestao distancia (PATO BRANCO)
ANGULO,PR,SANTA FE,Importado da revisao - sugestao distancia (SANTA FE)
ADOLFO,SP,JOSE BONIFACIO,Importado da revisao - sugestao distancia (JOSE BONIFACIO)
ALAMBARI,SP,ITAPETININGA,Importado da revisao - sugestao distancia (ITAPETININGA)
ALFREDO MARCONDES,SP,PRESIDENTE BERNARDES,Importado da revisao - sugestao distancia (PRESIDENTE BERNARDES)
ALTAIR,SP,NOVA GRANADA,Importado da revisao - sugestao distancia (NOVA GRANADA)
ALTO ALEGRE,SP,PENAPOLIS,Importado da revisao - sugestao distancia (PENAPOLIS)
ALUMINIO,SP,MAIRINQUE,Importado da revisao - sugestao distancia (MAIRINQUE)
ALVINLANDIA,SP,GALIA,Importado da revisao - sugestao distancia (GALIA)
AMERICO BRASILIENSE,SP,ARARAQUARA,Importado da revisao - sugestao distancia (ARARAQUARA)
AMERICO DE CAMPOS,SP,VOTUPORANGA,Importado da revisao - sugestao distancia (VOTUPORANGA)
ANALANDIA,SP,DESCALVADO,Importado da revisao - sugestao distancia (DESCALVADO)
ANHEMBI,SP,CONCHAS,Importado da revisao - sugestao distancia (CONCHAS)
ANHUMAS,SP,PIRAPOZINHO,Importado da revisao - sugestao distancia (PIRAPOZINHO)
APARECIDA D'OESTE,SP,PALMEIRA D'OESTE,Importado da revisao - sugestao distancia (PALMEIRA D'OESTE)
ARAMINA,SP,IGARAPAVA,Importado da revisao - sugestao distancia (IGARAPAVA)
ARANDU,SP,AVARE,Importado da revisao - sugestao distancia (AVARE)
ARAPEI,SP,BANANAL,Importado da revisao - sugestao distancia (BANANAL)
ARACARIGUAMA,SP,SAO ROQUE,Importado da revisao - sugestao distancia (SAO ROQUE)
ARACOIABA DA SERRA,SP,SOROCABA,Importado da revisao - sugestao distancia (SOROCABA)
ARCO-IRIS,SP,TUPA,Importado da revisao - sugestao distancia (TUPA)
AREALVA,SP,BARIRI,Importado da revisao - sugestao distancia (BARIRI)
AREIAS,SP,QUELUZ,Importado da revisao - sugestao distancia (QUELUZ)
AREIOPOLIS,SP,SAO MANUEL,Importado da revisao - sugestao distancia (SAO MANUEL)
ARIRANHA,SP,SANTA ADELIA,Importado da revisao - sugestao distancia (SANTA ADELIA)
ASPASIA,SP,URANIA,Importado da revisao - sugestao distancia (URANIA)
AVANHANDAVA,SP,PROMISSAO,Importado da revisao - sugestao distancia (PROMISSAO)
AVAI,SP,PIRAJUI,Importado da revisao - sugestao distancia (PIRAJUI)
BADY BASSITT,SP,SAO JOSE DO RIO PRETO,Importado da revisao - sugestao distancia (SAO JOSE DO RIO PRETO)
BALBINOS,SP,PIRAJUI,Importado da revisao - sugestao distancia (PIRAJUI)
BARBOSA,SP,PENAPOLIS,Importado da revisao - sugestao distancia (PENAPOLIS)
BARRA DO CHAPEU,SP,APIAI,Importado da revisao - sugestao distancia (APIAI)
BARRA DO TURVO,SP,APIAI,Importado da revisao - sugestao distancia (APIAI)
BARRINHA,SP,JABOTICABAL,Importado da revisao - sugestao distancia (JABOTICABAL)
BARAO DE ANTONINA,SP,ITAPORANGA,Importado da revisao - sugestao distancia (ITAPORANGA)
BASTOS,SP,OSVALDO CRUZ,Importado da revisao - sugestao distancia (OSVALDO CRUZ)
BENTO DE ABREU,SP,VALPARAISO,Importado da revisao - sugestao distancia (VALPARAISO)
BERNARDINO DE CAMPOS,SP,IPAUSSU,Importado da revisao - sugestao distancia (IPAUSSU)
BIRITIBA MIRIM,SP,MOGI DAS CRUZES,Importado da revisao - sugestao distancia (MOGI DAS CRUZES)
BOA ESPERANCA DO SUL,SP,RIBEIRAO BONITO,Importado da revisao - sugestao distancia (RIBEIRAO BONITO)
BOCAINA,SP,JAU,Importado da revisao - sugestao distancia (JAU)
BOFETE,SP,PORANGABA,Importado da revisao - sugestao distancia (PORANGABA)
BOM JESUS DOS PERDOES,SP,ATIBAIA,Importado da revisao - sugestao distancia (ATIBAIA)
BOM SUCESSO DE ITARARE,SP,ITARARE,Importado da revisao - sugestao distancia (ITARARE)
BORACEIA,SP,BARIRI,Importado da revisao - sugestao distancia (BARIRI)
BOREBI,SP,AGUDOS,Importado da revisao - sugestao distancia (AGUDOS)
BORA,SP,PARAGUACU PAULISTA,Importado da revisao - sugestao distancia (PARAGUACU PAULISTA)
BRAUNA,SP,BILAC,Importado da revisao - sugestao distancia (BILAC)
BREJO ALEGRE,SP,BURITAMA,Importado da revisao - sugestao distancia (BURITAMA)
BURI,SP,CAPAO BONITO,Importado da revisao - sugestao distancia (CAPAO BONITO)
BURITIZAL,SP,IGARAPAVA,Importado da revisao - sugestao distancia (IGARAPAVA)
BALSAMO,SP,MIRASSOL,Importado da revisao - sugestao distancia (MIRASSOL)
CABRALIA PAULISTA,SP,DUARTINA,Importado da revisao - sugestao distancia (DUARTINA)
CAIABU,SP,MARTINOPOLIS,Importado da revisao - sugestao distancia (MARTINOPOLIS)
CAIEIRAS,SP,FRANCO DA ROCHA,Importado da revisao - sugestao distancia (FRANCO DA ROCHA)
CAIUA,SP,PRESIDENTE EPITACIO,Importado da revisao - sugestao distancia (PRESIDENTE EPITACIO)
CAJAMAR,SP,SANTANA DE PARNAIBA,Importado da revisao - sugestao distancia (SANTANA DE PARNAIBA)
CAJATI,SP,JACUPIRANGA,Importado da revisao - sugestao distancia (JACUPIRANGA)
CAJOBI,SP,MONTE AZUL PAULISTA,Importado da revisao - sugestao distancia (MONTE AZUL PAULISTA)
CAMPINA DO MONTE ALEGRE,SP,ANGATUBA,Importado da revisao - sugestao distancia (ANGATUBA)
CAMPO LIMPO PAULISTA,SP,VARZEA PAULISTA,Importado da revisao - sugestao distancia (VARZEA PAULISTA)
CAMPOS NOVOS PAULISTA,SP,PALMITAL,Importado da revisao - sugestao distancia (PALMITAL)
CANAS,SP,CACHOEIRA PAULISTA,Importado da revisao - sugestao distancia (CACHOEIRA PAULISTA)
CANITAR,SP,CHAVANTES,Importado da revisao - sugestao distancia (CHAVANTES)
CAPELA DO ALTO,SP,TATUI,Importado da revisao - sugestao distancia (TATUI)
CASTILHO,SP,ANDRADINA,Importado da revisao - sugestao distancia (ANDRADINA)
CATIGUA,SP,CATANDUVA,Importado da revisao - sugestao distancia (CATANDUVA)
CEDRAL,SP,SAO JOSE DO RIO PRETO,Importado da revisao - sugestao distancia (SAO JOSE DO RIO PRETO)
CESARIO LANGE,SP,TATUI,Importado da revisao - sugestao distancia (TATUI)
CHARQUEADA,SP,SAO PEDRO,Importado da revisao - sugestao distancia (SAO PEDRO)
CLEMENTINA,SP,BILAC,Importado da revisao - sugestao distancia (BILAC)
COLOMBIA,SP,GUAIRA,Importado da revisao - sugestao distancia (GUAIRA)
COROADOS,SP,BIRIGUI,Importado da revisao - sugestao distancia (BIRIGUI)
CORONEL MACEDO,SP,TAQUARITUBA,Importado da revisao - sugestao distancia (TAQUARITUBA)
CORUMBATAI,SP,RIO CLARO,Importado da revisao - sugestao distancia (RIO CLARO)
COSMORAMA,SP,TANABI,Importado da revisao - sugestao distancia (TANABI)
CRISTAIS PAULISTA,SP,FRANCA,Importado da revisao - sugestao distancia (FRANCA)
CRUZALIA,SP,MARACAI,Importado da revisao - sugestao distancia (MARACAI)
CASSIA DOS COQUEIROS,SP,CAJURU,Importado da revisao - sugestao distancia (CAJURU)
CANDIDO RODRIGUES,SP,TAQUARITINGA,Importado da revisao - sugestao distancia (TAQUARITINGA)
DIRCE REIS,SP,PALMEIRA D'OESTE,Importado da revisao - sugestao distancia (PALMEIRA D'OESTE)
DIVINOLANDIA,SP,SAO JOSE DO RIO PARDO,Importado da revisao - sugestao distancia (SAO JOSE DO RIO PARDO)
DOBRADA,SP,MATAO,Importado da revisao - sugestao distancia (MATAO)
DOLCINOPOLIS,SP,JALES,Importado da revisao - sugestao distancia (JALES)
DOURADO,SP,RIBEIRAO BONITO,Importado da revisao - sugestao distancia (RIBEIRAO BONITO)
DUMONT,SP,SERTAOZINHO,Importado da revisao - sugestao distancia (SERTAOZINHO)
ECHAPORA,SP,ASSIS,Importado da revisao - sugestao distancia (ASSIS)
ELIAS FAUSTO,SP,MONTE MOR,Importado da revisao - sugestao distancia (MONTE MOR)
ELISIARIO,SP,CATANDUVA,Importado da revisao - sugestao distancia (CATANDUVA)
EMBAUBA,SP,MONTE AZUL PAULISTA,Importado da revisao - sugestao distancia (MONTE AZUL PAULISTA)
EMBU-GUACU,SP,ITAPECERICA DA SERRA,Importado da revisao - sugestao distancia (ITAPECERICA DA SERRA)
EMILIANOPOLIS,SP,PRESIDENTE BERNARDES,Importado da revisao - sugestao distancia (PRESIDENTE BERNARDES)
ENGENHEIRO COELHO,SP,ARTUR NOGUEIRA,Importado da revisao - sugestao distancia (ARTUR NOGUEIRA)
ESPIRITO SANTO DO TURVO,SP,SANTA CRUZ DO RIO PARDO,Importado da revisao - sugestao distancia (SANTA CRUZ DO RIO PARDO)
ESTIVA GERBI,SP,MOGI GUACU,Importado da revisao - sugestao distancia (MOGI GUACU)
ESTRELA DO NORTE,SP,PIRAPOZINHO,Importado da revisao - sugestao distancia (PIRAPOZINHO)
EUCLIDES DA CUNHA PAULISTA,SP,TEODORO SAMPAIO,Importado da revisao - sugestao distancia (TEODORO SAMPAIO)
FERNANDO PRESTES,SP,SANTA ADELIA,Importado da revisao - sugestao distancia (SANTA ADELIA)
FERNAO,SP,GALIA,Importado da revisao - sugestao distancia (GALIA)
FERRAZ DE VASCONCELOS,SP,POA,Importado da revisao - sugestao distancia (POA)
FLORA RICA,SP,PACAEMBU,Importado da revisao - sugestao distancia (PACAEMBU)
FLOREAL,SP,NHANDEARA,Importado da revisao - sugestao distancia (NHANDEARA)
FLORINEA,SP,MARACAI,Importado da revisao - sugestao distancia (MARACAI)
FLORIDA PAULISTA,SP,PACAEMBU,Importado da revisao - sugestao distancia (PACAEMBU)
GABRIEL MONTEIRO,SP,BILAC,Importado da revisao - sugestao distancia (BILAC)
GASTAO VIDIGAL,SP,NHANDEARA,Importado da revisao - sugestao distancia (NHANDEARA)
GAVIAO PEIXOTO,SP,MATAO,Importado da revisao - sugestao distancia (MATAO)
GLICERIO,SP,PENAPOLIS,Importado da revisao - sugestao distancia (PENAPOLIS)
GUAIMBE,SP,GETULINA,Importado da revisao - sugestao distancia (GETULINA)
GUAICARA,SP,LINS,Importado da revisao - sugestao distancia (LINS)
GUAPIARA,SP,CAPAO BONITO,Importado da revisao - sugestao distancia (CAPAO BONITO)
GUAPIACU,SP,SAO JOSE DO RIO PRETO,Importado da revisao - sugestao distancia (SAO JOSE DO RIO PRETO)
GUARACI,SP,OLIMPIA,Importado da revisao - sugestao distancia (OLIMPIA)
GUARANI D'OESTE,SP,ESTRELA D'OESTE,Importado da revisao - sugestao distancia (ESTRELA D'OESTE)
GUARANTA,SP,CAFELANDIA,Importado da revisao - sugestao distancia (CAFELANDIA)
GUARAREMA,SP,JACAREI,Importado da revisao - sugestao distancia (JACAREI)
GUARACAI,SP,MIRANDOPOLIS,Importado da revisao - sugestao distancia (MIRANDOPOLIS)
GUAREI,SP,PORANGABA,Importado da revisao - sugestao distancia (PORANGABA)
GUATAPARA,SP,GUARIBA,Importado da revisao - sugestao distancia (GUARIBA)
GUZOLANDIA,SP,AURIFLAMA,Importado da revisao - sugestao distancia (AURIFLAMA)
HERCULANDIA,SP,TUPA,Importado da revisao - sugestao distancia (TUPA)
HOLAMBRA,SP,JAGUARIUNA,Importado da revisao - sugestao distancia (JAGUARIUNA)
IACANGA,SP,IBITINGA,Importado da revisao - sugestao distancia (IBITINGA)
IACRI,SP,TUPA,Importado da revisao - sugestao distancia (TUPA)
IARAS,SP,CERQUEIRA CESAR,Importado da revisao - sugestao distancia (CERQUEIRA CESAR)
IBATE,SP,SAO CARLOS,Importado da revisao - sugestao distancia (SAO CARLOS)
IBIRAREMA,SP,PALMITAL,Importado da revisao - sugestao distancia (PALMITAL)
IBIRA,SP,URUPES,Importado da revisao - sugestao distancia (URUPES)
ICEM,SP,NOVA GRANADA,Importado da revisao - sugestao distancia (NOVA GRANADA)
IEPE,SP,MARACAI,Importado da revisao - sugestao distancia (MARACAI)
IGARATA,SP,SANTA ISABEL,Importado da revisao - sugestao distancia (SANTA ISABEL)
IGARACU DO TIETE,SP,BARRA BONITA,Importado da revisao - sugestao distancia (BARRA BONITA)
ILHA COMPRIDA,SP,IGUAPE,Importado da revisao - sugestao distancia (IGUAPE)
ILHABELA,SP,SAO SEBASTIAO,Importado da revisao - sugestao distancia (SAO SEBASTIAO)
INDIANA,SP,REGENTE FEIJO,Importado da revisao - sugestao distancia (REGENTE FEIJO)
INDIAPORA,SP,FERNANDOPOLIS,Importado da revisao - sugestao distancia (FERNANDOPOLIS)
INUBIA PAULISTA,SP,LUCELIA,Importado da revisao - sugestao distancia (LUCELIA)
IPERO,SP,BOITUVA,Importado da revisao - sugestao distancia (BOITUVA)
IPEUNA,SP,RIO CLARO,Importado da revisao - sugestao distancia (RIO CLARO)
