municipio_norm,uf_sigla,municipio_ri_norm,observacao
IPIGUA,SP,NOVA GRANADA,Importado da revisao - sugestao distancia (NOVA GRANADA)
IPORANGA,SP,APIAI,Importado da revisao - sugestao distancia (APIAI)
IRACEMAPOLIS,SP,LIMEIRA,Importado da revisao - sugestao distancia (LIMEIRA)
IRAPURU,SP,PACAEMBU,Importado da revisao - sugestao distancia (PACAEMBU)
IRAPUA,SP,URUPES,Importado da revisao - sugestao distancia (URUPES)
ITABERA,SP,ITAPEVA,Importado da revisao - sugestao distancia (ITAPEVA)
ITAJOBI,SP,CATANDUVA,Importado da revisao - sugestao distancia (CATANDUVA)
ITAJU,SP,BARIRI,Importado da revisao - sugestao distancia (BARIRI)
ITAOCA,SP,APIAI,Importado da revisao - sugestao distancia (APIAI)
ITAPIRAPUA PAULISTA,SP,APIAI,Importado da revisao - sugestao distancia (APIAI)
ITAPURA,SP,ILHA SOLTEIRA,Importado da revisao - sugestao distancia (ILHA SOLTEIRA)
ITAPUI,SP,PEDERNEIRAS,Importado da revisao - sugestao distancia (PEDERNEIRAS)
ITARIRI,SP,PERUIBE,Importado da revisao - sugestao distancia (PERUIBE)
ITATINGA,SP,BOTUCATU,Importado da revisao - sugestao distancia (BOTUCATU)
ITIRAPINA,SP,SAO CARLOS,Importado da revisao - sugestao distancia (SAO CARLOS)
ITIRAPUA,SP,PATROCINIO PAULISTA,Importado da revisao - sugestao distancia (PATROCINIO PAULISTA)
ITOBI,SP,CASA BRANCA,Importado da revisao - sugestao distancia (CASA BRANCA)
ITUPEVA,SP,VINHEDO,Importado da revisao - sugestao distancia (VINHEDO)
JABORANDI,SP,COLINA,Importado da revisao - sugestao distancia (COLINA)
JACI,SP,MIRASSOL,Importado da revisao - sugestao distancia (MIRASSOL)
JAMBEIRO,SP,PARAIBUNA,Importado da revisao - sugestao distancia (PARAIBUNA)
JANDIRA,SP,BARUERI,Importado da revisao - sugestao distancia (BARUERI)
JERIQUARA,SP,PEDREGULHO,Importado da revisao - sugestao distancia (PEDREGULHO)
JOANOPOLIS,SP,PIRACAIA,Importado da revisao - sugestao distancia (PIRACAIA)
JOAO RAMALHO,SP,QUATA,Importado da revisao - sugestao distancia (QUATA)
JUMIRIM,SP,LARANJAL PAULISTA,Importado da revisao - sugestao distancia (LARANJAL PAULISTA)
JUQUITIBA,SP,ITAPECERICA DA SERRA,Importado da revisao - sugestao distancia (ITAPECERICA DA SERRA)
JULIO MESQUITA,SP,GARCA,Importado da revisao - sugestao distancia (GARCA)
LAGOINHA,SP,SAO LUIZ DO PARAITINGA,Importado da revisao - sugestao distancia (SAO LUIZ DO PARAITINGA)
LAVRINHAS,SP,CRUZEIRO,Importado da revisao - sugestao distancia (CRUZEIRO)
LAVINIA,SP,MIRANDOPOLIS,Importado da revisao - sugestao distancia (MIRANDOPOLIS)
LINDOIA,SP,AGUAS DE LINDOIA,Importado da revisao - sugestao distancia (AGUAS DE LINDOIA)
LOURDES,SP,BURITAMA,Importado da revisao - sugestao distancia (BURITAMA)
LOUVEIRA,SP,VINHEDO,Importado da revisao - sugestao distancia (VINHEDO)
LUCIANOPOLIS,SP,DUARTINA,Importado da revisao - sugestao distancia (DUARTINA)
LUIZIANIA,SP,BILAC,Importado da revisao - sugestao distancia (BILAC)
LUPERCIO,SP,MARILIA,Importado da revisao - sugestao distancia (MARILIA)
LUTECIA,SP,PARAGUACU PAULISTA,Importado da revisao - sugestao distancia (PARAGUACU PAULISTA)
LUIS ANTONIO,SP,CRAVINHOS,Importado da revisao - sugestao distancia (CRAVINHOS)
MACAUBAL,SP,NHANDEARA,Importado da revisao - sugestao distancia (NHANDEARA)
MACEDONIA,SP,FERNANDOPOLIS,Importado da revisao - sugestao distancia (FERNANDOPOLIS)
MAGDA,SP,GENERAL SALGADO,Importado da revisao - sugestao distancia (GENERAL SALGADO)
MANDURI,SP,CERQUEIRA CESAR,Importado da revisao - sugestao distancia (CERQUEIRA CESAR)
MARABA PAULISTA,SP,MIRANTE DO PARANAPANEMA,Importado da revisao - sugestao distancia (MIRANTE DO PARANAPANEMA)
MARAPOAMA,SP,URUPES,Importado da revisao - sugestao distancia (URUPES)
MARINOPOLIS,SP,PALMEIRA D'OESTE,Importado da revisao - sugestao distancia (PALMEIRA D'OESTE)
MARIAPOLIS,SP,ADAMANTINA,Importado da revisao - sugestao distancia (ADAMANTINA)
MENDONCA,SP,JOSE BONIFACIO,Importado da revisao - sugestao distancia (JOSE BONIFACIO)
MERIDIANO,SP,FERNANDOPOLIS,Importado da revisao - sugestao distancia (FERNANDOPOLIS)
MESOPOLIS,SP,URANIA,Importado da revisao - sugestao distancia (URANIA)
MINEIROS DO TIETE,SP,DOIS CORREGOS,Importado da revisao - sugestao distancia (DOIS CORREGOS)
MIRA ESTRELA,SP,CARDOSO,Importado da revisao - sugestao distancia (CARDOSO)
MIRASSOLANDIA,SP,NOVA GRANADA,Importado da revisao - sugestao distancia (NOVA GRANADA)
MOMBUCA,SP,CAPIVARI,Importado da revisao - sugestao distancia (CAPIVARI)
MONTE ALEGRE DO SUL,SP,SERRA NEGRA,Importado da revisao - sugestao distancia (SERRA NEGRA)
MONTE CASTELO,SP,TUPI PAULISTA,Importado da revisao - sugestao distancia (TUPI PAULISTA)
MONTEIRO LOBATO,SP,CACAPAVA,Importado da revisao - sugestao distancia (CACAPAVA)
MONCOES,SP,NHANDEARA,Importado da revisao - sugestao distancia (NHANDEARA)
MORUNGABA,SP,ITATIBA,Importado da revisao - sugestao distancia (ITATIBA)
MOTUCA,SP,GUARIBA,Importado da revisao - sugestao distancia (GUARIBA)
MURUTINGA DO SUL,SP,ANDRADINA,Importado da revisao - sugestao distancia (ANDRADINA)
NANTES,SP,REGENTE FEIJO,Importado da revisao - sugestao distancia (REGENTE FEIJO)
NARANDIBA,SP,PIRAPOZINHO,Importado da revisao - sugestao distancia (PIRAPOZINHO)
NATIVIDADE DA SERRA,SP,SAO LUIZ DO PARAITINGA,Importado da revisao - sugestao distancia (SAO LUIZ DO PARAITINGA)
NAZARE PAULISTA,SP,PIRACAIA,Importado da revisao - sugestao distancia (PIRACAIA)
NEVES PAULISTA,SP,MONTE APRAZIVEL,Importado da revisao - sugestao distancia (MONTE APRAZIVEL)
NIPOA,SP,MONTE APRAZIVEL,Importado da revisao - sugestao distancia (MONTE APRAZIVEL)
NOVA ALIANCA,SP,POTIRENDABA,Importado da revisao - sugestao distancia (POTIRENDABA)
NOVA CAMPINA,SP,ITAPEVA,Importado da revisao - sugestao distancia (ITAPEVA)
NOVA CANAA PAULISTA,SP,SANTA FE DO SUL,Importado da revisao - sugestao distancia (SANTA FE DO SUL)
NOVA CASTILHO,SP,GENERAL SALGADO,Importado da revisao - sugestao distancia (GENERAL SALGADO)
NOVA EUROPA,SP,IBITINGA,Importado da revisao - sugestao distancia (IBITINGA)
NOVA GUATAPORANGA,SP,TUPI PAULISTA,Importado da revisao - sugestao distancia (TUPI PAULISTA)
NOVA INDEPENDENCIA,SP,ANDRADINA,Importado da revisao - sugestao distancia (ANDRADINA)
NOVA LUZITANIA,SP,GENERAL SALGADO,Importado da revisao - sugestao distancia (GENERAL SALGADO)
NOVAIS,SP,CATANDUVA,Importado da revisao - sugestao distancia (CATANDUVA)
OCAUCU,SP,MARILIA,Importado da revisao - sugestao distancia (MARILIA)
ONDA VERDE,SP,NOVA GRANADA,Importado da revisao - sugestao distancia (NOVA GRANADA)
ORIENTE,SP,POMPEIA,Importado da revisao - sugestao distancia (POMPEIA)
ORINDIUVA,SP,PAULO DE FARIA,Importado da revisao - sugestao distancia (PAULO DE FARIA)
OSCAR BRESSANE,SP,POMPEIA,Importado da revisao - sugestao distancia (POMPEIA)
OURO VERDE,SP,DRACENA,Importado da revisao - sugestao distancia (DRACENA)
OUROESTE,SP,ESTRELA D'OESTE,Importado da revisao - sugestao distancia (ESTRELA D'OESTE)
PALMARES PAULISTA,SP,SANTA ADELIA,Importado da revisao - sugestao distancia (SANTA ADELIA)
PARANAPANEMA,SP,ANGATUBA,Importado da revisao - sugestao distancia (ANGATUBA)
PARANAPUA,SP,URANIA,Importado da revisao - sugestao distancia (URANIA)
PARAPUA,SP,OSVALDO CRUZ,Importado da revisao - sugestao distancia (OSVALDO CRUZ)
PARAISO,SP,MONTE AZUL PAULISTA,Importado da revisao - sugestao distancia (MONTE AZUL PAULISTA)
PARDINHO,SP,BOTUCATU,Importado da revisao - sugestao distancia (BOTUCATU)
PARIQUERA-ACU,SP,JACUPIRANGA,Importado da revisao - sugestao distancia (JACUPIRANGA)
PARISI,SP,VOTUPORANGA,Importado da revisao - sugestao distancia (VOTUPORANGA)
PAULICEIA,SP,PANORAMA,Importado da revisao - sugestao distancia (PANORAMA)
PAULISTANIA,SP,DUARTINA,Importado da revisao - sugestao distancia (DUARTINA)
PEDRA BELA,SP,BRAGANCA PAULISTA,Importado da revisao - sugestao distancia (BRAGANCA PAULISTA)
PEDRANOPOLIS,SP,FERNANDOPOLIS,Importado da revisao - sugestao distancia (FERNANDOPOLIS)
PEDRINHAS PAULISTA,SP,MARACAI,Importado da revisao - sugestao distancia (MARACAI)
PEDRO DE TOLEDO,SP,MIRACATU,Importado da revisao - sugestao distancia (MIRACATU)
PEREIRAS,SP,CONCHAS,Importado da revisao - sugestao distancia (CONCHAS)
PIACATU,SP,BILAC,Importado da revisao - sugestao distancia (BILAC)
PINDORAMA,SP,CATANDUVA,Importado da revisao - sugestao distancia (CATANDUVA)
PINHALZINHO,SP,BRAGANCA PAULISTA,Importado da revisao - sugestao distancia (BRAGANCA PAULISTA)
PIQUEROBI,SP,PRESIDENTE VENCESLAU,Importado da revisao - sugestao distancia (PRESIDENTE VENCESLAU)
PIQUETE,SP,LORENA,Importado da revisao - sugestao distancia (LORENA)
PIRANGI,SP,MONTE AZUL PAULISTA,Importado da revisao - sugestao distancia (MONTE AZUL PAULISTA)
PIRAPORA DO BOM JESUS,SP,SANTANA DE PARNAIBA,Importado da revisao - sugestao distancia (SANTANA DE PARNAIBA)
PLANALTO,SP,BURITAMA,Importado da revisao - sugestao distancia (BURITAMA)
PLATINA,SP,PALMITAL,Importado da revisao - sugestao distancia (PALMITAL)
POLONI,SP,MONTE APRAZIVEL,Importado da revisao - sugestao distancia (MONTE APRAZIVEL)
PONGAI,SP,CAFELANDIA,Importado da revisao - sugestao distancia (CAFELANDIA)
PONTALINDA,SP,JALES,Importado da revisao - sugestao distancia (JALES)
PONTES GESTAL,SP,CARDOSO,Importado da revisao - sugestao distancia (CARDOSO)
POPULINA,SP,URANIA,Importado da revisao - sugestao distancia (URANIA)
POTIM,SP,APARECIDA,Importado da revisao - sugestao distancia (APARECIDA)
PRACINHA,SP,LUCELIA,Importado da revisao - sugestao distancia (LUCELIA)
PRADOPOLIS,SP,GUARIBA,Importado da revisao - sugestao distancia (GUARIBA)
PRATANIA,SP,SAO MANUEL,Importado da revisao - sugestao distancia (SAO MANUEL)
PRESIDENTE ALVES,SP,PIRAJUI,Importado da revisao - sugestao distancia (PIRAJUI)
QUADRA,SP,PORANGABA,Importado da revisao - sugestao distancia (PORANGABA)
QUEIROZ,SP,GETULINA,Importado da revisao - sugestao distancia (GETULINA)
QUINTANA,SP,POMPEIA,Importado da revisao - sugestao distancia (POMPEIA)
RAFARD,SP,CAPIVARI,Importado da revisao - sugestao distancia (CAPIVARI)
REDENCAO DA SERRA,SP,PARAIBUNA,Importado da revisao - sugestao distancia (PARAIBUNA)
REGINOPOLIS,SP,PIRAJUI,Importado da revisao - sugestao distancia (PIRAJUI)
RESTINGA,SP,FRANCA,Importado da revisao - sugestao distancia (FRANCA)
RIBEIRA,SP,APIAI,Importado da revisao - sugestao distancia (APIAI)
RIBEIRAO BRANCO,SP,ITAPEVA,Importado da revisao - sugestao distancia (ITAPEVA)
RIBEIRAO CORRENTE,SP,FRANCA,Importado da revisao - sugestao distancia (FRANCA)
RIBEIRAO GRANDE,SP,CAPAO BONITO,Importado da revisao - sugestao distancia (CAPAO BONITO)
RIBEIRAO DO SUL,SP,OURINHOS,Importado da revisao - sugestao distancia (OURINHOS)
RIBEIRAO DOS INDIOS,SP,SANTO ANASTACIO,Importado da revisao - sugestao distancia (SANTO ANASTACIO)
RIFAINA,SP,PEDREGULHO,Importado da revisao - sugestao distancia (PEDREGULHO)
RINCAO,SP,ARARAQUARA,Importado da revisao - sugestao distancia (ARARAQUARA)
RINOPOLIS,SP,OSVALDO CRUZ,Importado da revisao - sugestao distancia (OSVALDO CRUZ)
RIO GRANDE DA SERRA,SP,RIBEIRAO PIRES,Importado da revisao - sugestao distancia (RIBEIRAO PIRES)
RIO DAS PEDRAS,SP,PIRACICABA,Importado da revisao - sugestao distancia (PIRACICABA)
RIOLANDIA,SP,CARDOSO,Importado da revisao - sugestao distancia (CARDOSO)
RIVERSUL,SP,ITAPORANGA,Importado da revisao - sugestao distancia (ITAPORANGA)
ROSEIRA,SP,APARECIDA,Importado da revisao - sugestao distancia (APARECIDA)
RUBINEIA,SP,SANTA FE DO SUL,Importado da revisao - sugestao distancia (SANTA FE DO SUL)
RUBIACEA,SP,GUARARAPES,Importado da revisao - sugestao distancia (GUARARAPES)
SABINO,SP,LINS,Importado da revisao - sugestao distancia (LINS)
SAGRES,SP,OSVALDO CRUZ,Importado da revisao - sugestao distancia (OSVALDO CRUZ)
SALES,SP,URUPES,Importado da revisao - sugestao distancia (URUPES)
SALES OLIVEIRA,SP,ORLANDIA,Importado da revisao - sugestao distancia (ORLANDIA)
SALESOPOLIS,SP,SANTA BRANCA,Importado da revisao - sugestao distancia (SANTA BRANCA)
SALMOURAO,SP,OSVALDO CRUZ,Importado da revisao - sugestao distancia (OSVALDO CRUZ)
SALTINHO,SP,PIRACICABA,Importado da revisao - sugestao distancia (PIRACICABA)
SALTO GRANDE,SP,OURINHOS,Importado da revisao - sugestao distancia (OURINHOS)
SALTO DE PIRAPORA,SP,PIEDADE,Importado da revisao - sugestao distancia (PIEDADE)
SANDOVALINA,SP,MIRANTE DO PARANAPANEMA,Importado da revisao - sugestao distancia (MIRANTE DO PARANAPANEMA)
SANTA ALBERTINA,SP,URANIA,Importado da revisao - sugestao distancia (URANIA)
SANTA CLARA D'OESTE,SP,SANTA FE DO SUL,Importado da revisao - sugestao distancia (SANTA FE DO SUL)
SANTA CRUZ DA CONCEICAO,SP,LEME,Importado da revisao - sugestao distancia (LEME)
SANTA CRUZ DA ESPERANCA,SP,CAJURU,Importado da revisao - sugestao distancia (CAJURU)
SANTA ERNESTINA,SP,TAQUARITINGA,Importado da revisao - sugestao distancia (TAQUARITINGA)
SANTA GERTRUDES,SP,RIO CLARO,Importado da revisao - sugestao distancia (RIO CLARO)
SANTA LUCIA,SP,ARARAQUARA,Importado da revisao - sugestao distancia (ARARAQUARA)
SANTA MARIA DA SERRA,SP,SAO PEDRO,Importado da revisao - sugestao distancia (SAO PEDRO)
SANTA MERCEDES,SP,PANORAMA,Importado da revisao - sugestao distancia (PANORAMA)
SANTA RITA D'OESTE,SP,SANTA FE DO SUL,Importado da revisao - sugestao distancia (SANTA FE DO SUL)
SANTA SALETE,SP,URANIA,Importado da revisao - sugestao distancia (URANIA)
SANTANA DA PONTE PENSA,SP,SANTA FE DO SUL,Importado da revisao - sugestao distancia (SANTA FE DO SUL)
SANTO ANTONIO DA ALEGRIA,SP,ALTINOPOLIS,Importado da revisao - sugestao distancia (ALTINOPOLIS)
SANTO ANTONIO DE POSSE,SP,JAGUARIUNA,Importado da revisao - sugestao distancia (JAGUARIUNA)
SANTO ANTONIO DO ARACANGUA,SP,AURIFLAMA,Importado da revisao - sugestao distancia (AURIFLAMA)
SANTO ANTONIO DO JARDIM,SP,ESPIRITO SANTO DO PINHAL,Importado da revisao - sugestao distancia (ESPIRITO SANTO DO PINHAL)
SANTO ANTONIO DO PINHAL,SP,CAMPOS DO JORDAO,Importado da revisao - sugestao distancia (CAMPOS DO JORDAO)
SANTO EXPEDITO,SP,PRESIDENTE BERNARDES,Importado da revisao - sugestao distancia (PRESIDENTE BERNARDES)
SANTOPOLIS DO AGUAPEI,SP,BILAC,Importado da revisao - sugestao distancia (BILAC)
SARAPUI,SP,PILAR DO SUL,Importado da revisao - sugestao distancia (PILAR DO SUL)
SARUTAIA,SP,PIRAJU,Importado da revisao - sugestao distancia (PIRAJU)
SEBASTIANOPOLIS DO SUL,SP,NHANDEARA,Importado da revisao - sugestao distancia (NHANDEARA)
SERRA AZUL,SP,SERRANA,Importado da revisao - sugestao distancia (SERRANA)
SETE BARRAS,SP,REGISTRO,Importado da revisao - sugestao distancia (REGISTRO)
SEVERINIA,SP,OLIMPIA,Importado da revisao - sugestao distancia (OLIMPIA)
SILVEIRAS,SP,CRUZEIRO,Importado da revisao - sugestao distancia (CRUZEIRO)
SUD MENNUCCI,SP,PEREIRA BARRETO,Importado da revisao - sugestao distancia (PEREIRA BARRETO)
SUZANAPOLIS,SP,PEREIRA BARRETO,Importado da revisao - sugestao distancia (PEREIRA BARRETO)
SAO FRANCISCO,SP,PALMEIRA D'OESTE,Importado da revisao - sugestao distancia (PALMEIRA D'OESTE)
SAO JOSE DA BELA VISTA,SP,NUPORANGA,Importado da revisao - sugestao distancia (NUPORANGA)
SAO JOSE DO BARREIRO,SP,QUELUZ,Importado da revisao - sugestao distancia (QUELUZ)
SAO JOAO DAS DUAS PONTES,SP,ESTRELA D'OESTE,Importado da revisao - sugestao distancia (ESTRELA D'OESTE)
SAO JOAO DE IRACEMA,SP,GENERAL SALGADO,Importado da revisao - sugestao distancia (GENERAL SALGADO)
SAO JOAO DO PAU D'ALHO,SP,TUPI PAULISTA,Importado da revisao - sugestao distancia (TUPI PAULISTA)
SAO LOURENCO DA SERRA,SP,ITAPECERICA DA SERRA,Importado da revisao - sugestao distancia (ITAPECERICA DA SERRA)
SAO PEDRO DO TURVO,SP,SANTA CRUZ DO RIO PARDO,Importado da revisao - sugestao distancia (SANTA CRUZ DO RIO PARDO)
SAO SEBASTIAO DA GRAMA,SP,SAO JOSE DO RIO PARDO,Importado da revisao - sugestao distancia (SAO JOSE DO RIO PARDO)
TABAPUA,SP,CATANDUVA,Importado da revisao - sugestao distancia (CATANDUVA)
TABATINGA,SP,IBITINGA,Importado da revisao - sugestao distancia (IBITINGA)
TACIBA,SP,REGENTE FEIJO,Importado da revisao - sugestao distancia (REGENTE FEIJO)
TAGUAI,SP,FARTURA,Importado da revisao - sugestao distancia (FARTURA)
TAIACU,SP,MONTE ALTO,Importado da revisao - sugestao distancia (MONTE ALTO)
TAIUVA,SP,MONTE ALTO,Importado da revisao - sugestao distancia (MONTE ALTO)
TAPIRATIBA,SP,CACONDE,Importado da revisao - sugestao distancia (CACONDE)
TAPIRAI,SP,PILAR DO SUL,Importado da revisao - sugestao distancia (PILAR DO SUL)
TAQUARAL,SP,BEBEDOURO,Importado da revisao - sugestao distancia (BEBEDOURO)
TAQUARIVAI,SP,ITAPEVA,Importado da revisao - sugestao distancia (ITAPEVA)
TARABAI,SP,PIRAPOZINHO,Importado da revisao - sugestao distancia (PIRAPOZINHO)
TARUMA,SP,MARACAI,Importado da revisao - sugestao distancia (MARACAI)
TEJUPA,SP,FARTURA,Importado da revisao - sugestao distancia (FARTURA)
TERRA ROXA,SP,VIRADOURO,Importado da revisao - sugestao distancia (VIRADOURO)
TIMBURI,SP,IPAUSSU,Importado da revisao - sugestao distancia (IPAUSSU)
TORRE DE PEDRA,SP,PORANGABA,Importado da revisao - sugestao distancia (PORANGABA)
TORRINHA,SP,BROTAS,Importado da revisao - sugestao distancia (BROTAS)
TRABIJU,SP,RIBEIRAO BONITO,Importado da revisao - sugestao distancia (RIBEIRAO BONITO)
TRES FRONTEIRAS,SP,SANTA FE DO SUL,Importado da revisao - sugestao distancia (SANTA FE DO SUL)
TUIUTI,SP,AMPARO,Importado da revisao - sugestao distancia (AMPARO)
TURIUBA,SP,BURITAMA,Importado da revisao - sugestao distancia (BURITAMA)
TURMALINA,SP,JALES,Importado da revisao - sugestao distancia (JALES)
UBARANA,SP,JOSE BONIFACIO,Importado da revisao - sugestao distancia (JOSE BONIFACIO)
UBIRAJARA,SP,GALIA,Importado da revisao - sugestao distancia (GALIA)
UCHOA,SP,POTIRENDABA,Importado da revisao - sugestao distancia (POTIRENDABA)
UNIAO PAULISTA,SP,MONTE APRAZIVEL,Importado da revisao - sugestao distancia (MONTE APRAZIVEL)
URU,SP,BORBOREMA,Importado da revisao - sugestao distancia (BORBOREMA)
VALENTIM GENTIL,SP,VOTUPORANGA,Importado da revisao - sugestao distancia (VOTUPORANGA)
VARGEM,SP,BRAGANCA PAULISTA,Importado da revisao - sugestao distancia (BRAGANCA PAULISTA)
VARGEM GRANDE PAULISTA,SP,COTIA,Importado da revisao - sugestao distancia (COTIA)
VERA CRUZ,SP,MARILIA,Importado da revisao - sugestao distancia (MARILIA)
VISTA ALEGRE DO ALTO,SP,MONTE ALTO,Importado da revisao - sugestao distancia (MONTE ALTO)
VITORIA BRASIL,SP,JALES,Importado da revisao - sugestao distancia (JALES)
ZACARIAS,SP,BURITAMA,Importado da revisao - sugestao distancia (BURITAMA)
AGUAS DA PRATA,SP,SAO JOAO DA BOA VISTA,Importado da revisao - sugestao distancia (SAO JOAO DA BOA VISTA)
AGUAS DE SANTA BARBARA,SP,CERQUEIRA CESAR,Importado da revisao - sugestao distancia (CERQUEIRA CESAR)
AGUAS DE SAO PEDRO,SP,SAO PEDRO,Importado da revisao - sugestao distancia (SAO PEDRO)
ALVARES FLORENCE,SP,VOTUPORANGA,Importado da revisao - sugestao distancia (VOTUPORANGA)
ALVARES MACHADO,SP,PRESIDENTE PRUDENTE,Importado da revisao - sugestao distancia (PRESIDENTE PRUDENTE)
ALVARO DE CARVALHO,SP,GARCA,Importado da revisao - sugestao distancia (GARCA)
OLEO,SP,CERQUEIRA CESAR,Importado da revisao - sugestao distancia (CERQUEIRA CESAR)
